	species	climate	environment	depth_min	depth_max
778	Oncorhynchus kisutch	temperate	anadromous freshwater marine brackish demersal	0.0	250.0
779	Oncorhynchus masou	temperate	benthopelagic freshwater marine brackish anadromous	0.0	200.0
780	Oncorhynchus mykiss	subtropical	benthopelagic freshwater marine brackish anadromous	0.0	200.0
781	Oncorhynchus nerka	temperate	pelagic-oceanic freshwater marine brackish anadromous	0.0	250.0
782	Oncorhynchus tshawytscha	temperate	benthopelagic freshwater marine brackish anadromous	0.0	375.0
783	Oneirodes thompsoni		bathypelagic marine deep-water	100.0	2014.0
784	Onychostoma alticorpus	subtropical	freshwater benthopelagic	0.0	10.0
785	Onychostoma barbatulum	subtropical	freshwater benthopelagic		
786	Onychostoma barbatum	subtropical	freshwater benthopelagic		
787	Onychostoma lini	subtropical	freshwater benthopelagic		
788	Onychostoma simum	subtropical	freshwater benthopelagic		
789	Ophisurus macrorhynchos	temperate	marine demersal		
790	Opisthoproctus soleatus		bathypelagic marine deep-water	300.0	800.0
791	Opistognathus jacksoniensis	subtropical	reef-associated marine	20.0	
792	Oplegnathus fasciatus	temperate	reef-associated marine	1.0	10.0
793	Oplegnathus punctatus	tropical	reef-associated oceanodromous marine	3.0	135.0
794	Opsariichthys bidens	temperate	freshwater benthopelagic		
795	Opsariichthys uncirostris	temperate	freshwater benthopelagic		
796	Oreochromis aureus	tropical	freshwater benthopelagic brackish potamodromous	5.0	
797	Oreochromis mossambicus	tropical	amphidromous freshwater benthopelagic brackish	1.0	12.0
798	Oreochromis niloticus	tropical	freshwater benthopelagic brackish potamodromous	0.0	6.0
799	Oreoglanis macropterus	tropical	freshwater benthopelagic		
800	Oreoleuciscus potanini	temperate	freshwater demersal		
801	Oryzias celebensis	tropical	freshwater benthopelagic non-migratory		
802	Oryzias dancena	tropical	freshwater benthopelagic brackish		
803	Oryzias javanicus	tropical	freshwater benthopelagic brackish non-migratory		
804	Oryzias latipes	subtropical	amphidromous freshwater benthopelagic brackish		
805	Oryzias luzonensis	tropical	freshwater benthopelagic non-migratory		
806	Oryzias marmoratus	tropical	freshwater benthopelagic non-migratory		
807	Oryzias melastigma	tropical	freshwater benthopelagic brackish		
808	Oryzias minutillus	tropical	freshwater benthopelagic non-migratory		
809	Oryzias sarasinorum	tropical	pelagic freshwater		
810	Oryzias sinensis	tropical	freshwater benthopelagic		
811	Osmerus mordax	temperate	pelagic-oceanic freshwater marine brackish anadromous	0.0	425.0
812	Osteochilus salsburyi	tropical	freshwater benthopelagic		
813	Osteoglossum bicirrhosum	tropical	freshwater benthopelagic		
814	Ostichthys japonicus	tropical	reef-associated marine		
815	Ostracion immaculatus	temperate	marine demersal		
816	Oxuderces dentatus	tropical	amphidromous freshwater brackish demersal		
817	Oxymonacanthus longirostris	tropical	reef-associated marine non-migratory	4.0	30.0
818	Oxyurichthys formosanus	tropical	amphidromous marine brackish demersal		
819	Paedocypris progenetica	tropical	freshwater benthopelagic		
820	Pagellus bogaraveo	temperate	benthopelagic marine		700.0
821	Pagrus auriga	subtropical	benthopelagic oceanodromous marine		170.0
822	Pagrus major	subtropical	oceanodromous marine demersal	10.0	200.0
823	Pampus punctatissimus	subtropical	benthopelagic marine		
824	Pangasianodon gigas	tropical	freshwater benthopelagic potamodromous		
825	Pangasianodon hypophthalmus	tropical	freshwater benthopelagic potamodromous		
826	Pangasius larnaudii	tropical	freshwater benthopelagic potamodromous		
827	Pangio anguillaris	tropical	freshwater demersal		
828	Pantodon buchholzi	tropical	pelagic freshwater potamodromous		
829	Papyrocranus congoensis	tropical	freshwater demersal		
830	Parabramis pekinensis	temperate	amphidromous freshwater benthopelagic		
831	Parachanna insignis	tropical	freshwater benthopelagic		
832	Paracheirodon innesi	tropical	pelagic freshwater		
833	Paracirrhites arcatus	tropical	reef-associated marine	1.0	91.0
834	Paraconger notialis	tropical	marine demersal	25.0	50.0
835	Parahucho perryi	temperate	benthopelagic freshwater marine brackish anadromous	0.0	100.0
836	Parajulis poecilepterus	subtropical	marine demersal		
837	Parakneria cameronensis	tropical	freshwater benthopelagic		
838	Paralaubuca typus	tropical	freshwater benthopelagic potamodromous		
839	Paralichthys olivaceus	subtropical	oceanodromous marine demersal	10.0	200.0
840	Paraluteres prionurus	tropical	reef-associated marine non-migratory	1.0	25.0
841	Paramonacanthus choirocephalus	tropical	marine demersal		8.0
842	Paramormyrops gabonensis	tropical	freshwater demersal		
843	Paraplagusia japonica	tropical	marine demersal	20.0	65.0
844	Parapristipoma trilineatum	subtropical	benthopelagic oceanodromous marine		
845	Pararasbora moltrechti	subtropical	freshwater benthopelagic		
846	Parargyrops edita	subtropical	freshwater brackish demersal		
847	Parataeniophorus gulosus		bathypelagic marine deep-water	0.0	1400.0
848	Paratilapia polleni	tropical	freshwater demersal		
849	Parazen pacificus		bathydemersal marine deep-water	145.0	500.0
850	Paretroplus maculatus	tropical	freshwater demersal		
851	Pareuchiloglanis gracilicaudata	temperate	freshwater benthopelagic		
852	Pareutropius debauwi	tropical	freshwater demersal		
853	Pegasus volitans	tropical	marine brackish demersal	1.0	73.0
854	Pelagocephalus marki	temperate	marine demersal		
855	Pelecus cultratus	temperate	pelagic anadromous freshwater brackish	20.0	
856	Pellona ditchela	tropical	anadromous freshwater marine brackish pelagic-neritic	10.0	55.0
857	Pellona flavipinnis	subtropical	pelagic freshwater brackish		
858	Pellonula leonensis	tropical	anadromous freshwater marine brackish pelagic-neritic		
859	Pellonula vorax	tropical	anadromous freshwater marine brackish pelagic-neritic		
860	Pelteobagrus eupogon	temperate	freshwater demersal		
861	Pelteobagrus fulvidraco	temperate	freshwater demersal non-migratory		
862	Pelteobagrus nitidus	temperate	freshwater demersal		
863	Pelteobagrus vachellii	subtropical	freshwater demersal		
864	Pennahia argentata	temperate	benthopelagic oceanodromous marine	20.0	140.0
865	Pentaceros japonicus	subtropical	benthopelagic marine	100.0	830.0
866	Peprilus triacanthus	subtropical	benthopelagic oceanodromous marine brackish	15.0	420.0
867	Perca flavescens	temperate	freshwater benthopelagic brackish		56.0
868	Perccottus glenii	temperate	freshwater brackish demersal		
869	Percina macrolepida	subtropical	freshwater benthopelagic		
870	Percocypris pingi	subtropical	freshwater benthopelagic		
871	Percopsis transmontana	temperate	freshwater demersal		
872	Pervagor janthinosoma	tropical	reef-associated marine	8.0	20.0
873	Petrocephalus microphthalmus	tropical	freshwater demersal		
874	Petrocephalus soudanensis	tropical	freshwater demersal		
875	Petrochromis trewavasae	tropical	freshwater benthopelagic		
876	Petroscirtes breviceps	tropical	reef-associated oceanodromous marine		10.0
877	Petrotilapia nigra	tropical	freshwater demersal	3.0	30.0
878	Phenacobius mirabilis	subtropical	freshwater demersal		
879	Phenacogrammus interruptus	tropical	freshwater benthopelagic		
880	Pholis crassispina	temperate	marine demersal	0.0	5.0
881	Phoxinus eos	temperate	freshwater demersal		
882	Phoxinus oxycephalus	temperate	freshwater demersal		
883	Phoxinus percnurus	subtropical	freshwater benthopelagic non-migratory		
884	Phoxinus perenurus	subtropical	freshwater benthopelagic non-migratory		
885	Phoxinus phoxinus	temperate	freshwater brackish potamodromous demersal		
886	Phoxinus steindachneri	temperate	freshwater benthopelagic		
887	Phractolaemus ansorgii	tropical	freshwater benthopelagic		
888	Physiculus japonicus		bathydemersal marine deep-water	150.0	350.0
889	Pimelodus pictus	tropical	freshwater benthopelagic		
890	Plagiognathops microlepis	temperate	freshwater benthopelagic		
891	Platax orbicularis	tropical	reef-associated marine brackish	5.0	30.0
892	Platichthys stellatus	polar	catadromous freshwater marine brackish demersal	0.0	375.0
893	Platycephalus indicus	subtropical	reef-associated oceanodromous marine brackish	20.0	200.0
894	Platytroctes apus		bathypelagic marine deep-water	385.0	5393.0
895	Plecoglossus altivelis	subtropical	amphidromous freshwater marine brackish demersal	10.0	
896	Plectropomus areolatus	tropical	reef-associated marine	1.0	20.0
897	Plectropomus leopardus	tropical	reef-associated oceanodromous marine	3.0	100.0
898	Pleuragramma antarcticum	polar	pelagic-oceanic marine	0.0	728.0
899	Pleuronichthys cornutus	temperate	marine demersal	2.0	170.0
900	Plotosus japonicus	temperate	benthopelagic marine		
901	Pollachius pollachius	temperate	benthopelagic oceanodromous marine		200.0
902	Pollachius virens	temperate	oceanodromous marine demersal	37.0	364.0
903	Pollimyrus adspersus	tropical	freshwater demersal		
904	Polymixia japonica		bathypelagic marine deep-water	160.0	628.0
905	Polymixia lowei		bathydemersal marine deep-water	50.0	600.0
906	Polyodon spathula	temperate	freshwater demersal potamodromous	2.0	
907	Polypterus ansorgii	tropical	freshwater demersal		
908	Polypterus bichir	tropical	freshwater demersal potamodromous		
909	Polypterus delhezi	tropical	freshwater demersal		
910	Polypterus endlicherii	tropical	freshwater demersal potamodromous		
911	Polypterus mokelembembe	tropical	freshwater demersal		
912	Polypterus ornatipinnis	tropical	freshwater demersal		
913	Polypterus palmas	tropical	freshwater demersal		
914	Polypterus retropinnis	tropical	freshwater demersal		
915	Polypterus senegalus	tropical	freshwater demersal potamodromous		
916	Polypterus teugelsi	tropical	freshwater demersal		
917	Polypterus weeksii	tropical	freshwater demersal		
918	Polyspina piosae	subtropical	benthopelagic marine		
919	Pomatomus saltatrix	subtropical	pelagic-oceanic oceanodromous marine brackish	0.0	200.0
920	Porichthys myriaster	subtropical	marine demersal	0.0	126.0
921	Poromitra oscitans		bathypelagic marine deep-water	645.0	5320.0
922	Potamalosa richmondia	temperate	catadromous freshwater marine brackish pelagic-neritic		
923	Potamothrissa acutirostris	tropical	pelagic freshwater		
924	Potamothrissa obtusirostris	tropical	pelagic freshwater		
925	Pristipomoides multidens	tropical	marine demersal	40.0	245.0
926	Procetichthys kreffti		bathypelagic marine deep-water	0.0	2200.0
927	Procypris rabaudi	subtropical	freshwater benthopelagic		
928	Promethichthys prometheus	subtropical	benthopelagic oceanodromous marine	80.0	800.0
929	Prosopium cylindraceum	temperate	freshwater brackish potamodromous demersal		72.0
930	Prosopium williamsoni	temperate	freshwater benthopelagic	5.0	20.0
931	Protoanguilla palau	tropical	reef-associated marine	35.0	
932	Psenes cyanophrys		bathypelagic marine deep-water oceanodromous	20.0	550.0
933	Psenes pellucidus		bathypelagic marine deep-water		1000.0
934	Psenopsis anomala	tropical	benthopelagic marine	0.0	370.0
935	Psephurus gladius	subtropical	freshwater demersal potamodromous		
936	Psetta maxima	temperate	oceanodromous marine brackish demersal	20.0	70.0
937	Psettodes erumei	tropical	marine demersal	1.0	100.0
938	Pseudalutarius nasicornis	subtropical	reef-associated marine	1.0	55.0
939	Pseudaspius leptocephalus	temperate	freshwater benthopelagic		
940	Pseudecheneis sulcata	tropical	freshwater demersal		
941	Pseudexostoma yunnanensis	temperate	freshwater demersal		
942	Pseudobagrus brevicaudatus	temperate	freshwater benthopelagic		
943	Pseudobagrus brevicorpus	temperate	freshwater benthopelagic		
944	Pseudobagrus tokiensis	temperate	freshwater benthopelagic		
945	Pseudobagrus trilineatus	subtropical	freshwater benthopelagic		
946	Pseudobagrus truncatus	temperate	freshwater benthopelagic		
947	Pseudobagrus ussuriensis	temperate	freshwater demersal non-migratory		
948	Pseudobalistes flavimarginatus	tropical	reef-associated marine	2.0	50.0
949	Pseudogobio esocinus	temperate	freshwater benthopelagic		
950	Pseudogobius javanicus	tropical	amphidromous benthopelagic freshwater marine brackish		
951	Pseudohemiculter dispar	subtropical	freshwater benthopelagic brackish		
952	Pseudolabrus eoethinus	subtropical	reef-associated marine		
953	Pseudolabrus sieboldi	subtropical	marine demersal		
954	Pseudolaubuca engraulis	subtropical	freshwater benthopelagic		
955	Pseudomonacanthus peroni	tropical	reef-associated marine		
956	Pseudopentaceros richardsoni	temperate	pelagic-oceanic marine	0.0	1000.0
957	Pseudopentaceros wheeleri	temperate	benthopelagic marine	146.0	800.0
958	Pseudopungtungia nigra	temperate	freshwater benthopelagic		
959	Pseudopungtungia tenuicorpus	temperate	freshwater benthopelagic		
960	Pseudorasbora elongata	subtropical	freshwater benthopelagic		
961	Pseudorasbora parva	temperate	freshwater benthopelagic		
962	Pseudorasbora pumila	temperate	freshwater benthopelagic		
963	Pseudotropheus crabro	tropical	freshwater demersal	15.0	18.0
964	Psilorhynchus homaloptera	tropical	freshwater demersal		
965	Psilorhynchus sucatio	subtropical	freshwater demersal		
966	Pteraclis aesticola	temperate	benthopelagic oceanodromous marine	0.0	100.0
967	Pteragogus flagellifer	tropical	reef-associated marine		
968	Pterapogon kauderni	tropical	marine demersal	0.0	16.0
969	Pterocaesio tile	tropical	reef-associated marine non-migratory		60.0
970	Pterygoplichthys disjunctivus	tropical	freshwater demersal		
971	Ptychochromoides katria	tropical	freshwater demersal		
972	Puck pinnata		bathypelagic marine deep-water		
973	Pungitius kaibarae	temperate	benthopelagic freshwater marine brackish		
974	Pungitius pungitius	temperate	benthopelagic freshwater marine brackish anadromous		110.0
975	Pungitius sinensis	temperate	benthopelagic freshwater marine brackish		
976	Pungtungia herzi	temperate	freshwater benthopelagic		
977	Puntius chalakkudiensis	tropical	freshwater benthopelagic		
978	Puntius denisonii	subtropical	freshwater benthopelagic		
979	Puntius semifasciolatus	subtropical	freshwater benthopelagic	0.0	5.0
980	Puntius snyderi	subtropical	freshwater benthopelagic		
981	Puntius tetrazona	tropical	freshwater benthopelagic		
982	Puntius ticto	subtropical	freshwater benthopelagic brackish potamodromous		
983	Pygocentrus nattereri	subtropical	pelagic freshwater		
984	Pythonichthys microphthalmus	tropical	marine demersal	40.0	150.0
985	Rachycentron canadum	subtropical	reef-associated oceanodromous marine brackish	0.0	1200.0
986	Raiamas guttatus	tropical	freshwater benthopelagic potamodromous		
987	Raiamas senegalensis	tropical	freshwater benthopelagic potamodromous		
988	Ranzania laevis	subtropical	pelagic-oceanic marine	1.0	140.0
989	Rasbora cephalotaenia	tropical	freshwater benthopelagic		
990	Rasbora daniconius	tropical	freshwater benthopelagic brackish potamodromous		
991	Rasbora steineri	tropical	freshwater benthopelagic		
992	Rasbora vaterifloris	tropical	freshwater benthopelagic		
993	Rastrelliger brachysoma	tropical	oceanodromous marine brackish pelagic-neritic	15.0	200.0
994	Rastrelliger kanagurta	tropical	oceanodromous marine pelagic-neritic	20.0	90.0
995	Reinhardtius hippoglossoides	boreal	benthopelagic oceanodromous marine	1.0	2000.0
996	Retropinna retropinna	subtropical	anadromous freshwater marine brackish demersal		
997	Rexea nakamurai		benthopelagic marine deep-water	340.0	370.0
998	Rhamphochromis esox	tropical	freshwater demersal	2.0	65.0
999	Rhinecanthus aculeatus	tropical	reef-associated marine	0.0	50.0
1000	Rhinogobius giurinus	subtropical	amphidromous freshwater marine brackish demersal		
1001	Rhinomugil nasutus	tropical	pelagic freshwater brackish		
1002	Rhinomuraena quaesita	tropical	reef-associated marine non-migratory	1.0	57.0
1003	Rhodeus ocellatus	subtropical	freshwater benthopelagic		
1004	Rhodeus pseudosericeus	temperate	pelagic freshwater		
1005	Rhodeus shitaiensis	subtropical	pelagic freshwater		
1006	Rhodeus suigensis	temperate	freshwater benthopelagic		
1007	Rhodeus uyekii	temperate	freshwater benthopelagic		
1008	Rhyacichthys aspro	tropical	amphidromous freshwater marine brackish demersal		
1009	Rhynchactis macrothrix		bathypelagic marine deep-water	0.0	2000.0
1010	Rhynchocypris kumgangensis	temperate	freshwater benthopelagic		
1011	Rhynchocypris lagowskii	temperate	freshwater benthopelagic		
1012	Rhynchopelates oxyrhynchus	tropical	benthopelagic freshwater marine brackish		
1013	Rinoctes nasutus		bathypelagic marine deep-water	2000.0	4156.0
1014	Rivulus marmoratus	tropical	freshwater benthopelagic brackish non-migratory	0.0	
1015	Robinsia catherinae	tropical	marine demersal	140.0	243.0
1016	Rondeletia loricata		bathypelagic marine deep-water	100.0	3500.0
1017	Rudarius ercodes	temperate	reef-associated oceanodromous marine		
1018	Ruvettus pretiosus	subtropical	benthopelagic oceanodromous marine	100.0	800.0
1019	Saccopharynx lavenbergi		bathypelagic marine deep-water	2000.0	3000.0
1020	Sagamichthys abei		bathypelagic marine deep-water	37.0	1500.0
1021	Salangichthys microdon	polar	anadromous freshwater marine brackish demersal		
1022	Salanx ariakensis	subtropical	anadromous freshwater marine brackish demersal		
1023	Salarias fasciatus	tropical	reef-associated marine	0.0	8.0
1024	Salmo salar	temperate	benthopelagic freshwater marine brackish anadromous	0.0	210.0
1025	Salmo trutta	subtropical	anadromous freshwater marine brackish pelagic-neritic	0.0	
1026	Salmostoma bacaila	tropical	freshwater benthopelagic brackish potamodromous		
1027	Salvelinus alpinus	temperate	benthopelagic freshwater marine brackish anadromous	30.0	70.0
1028	Salvelinus fontinalis	temperate	anadromous freshwater marine brackish demersal	15.0	27.0
1029	Sander canadensis	temperate	freshwater demersal	5.0	
1030	Sarcocheilichthys nigripinnis	temperate	freshwater benthopelagic		
1031	Sarcocheilichthys parvus	subtropical	freshwater benthopelagic		
1032	Sarcocheilichthys sinensis	temperate	freshwater benthopelagic		
1033	Sarcocheilichthys variegatus	temperate	freshwater benthopelagic		
