species	metabolism_data	speed_data	gill_area_data
Evoxymetopon poeyi	False	False	False
Lepisosteus oculatus	False	False	False
Gilchristella aestuaria	True	False	False
Acantopsis choirorhynchos	False	False	False
Scleropages formosus	False	False	False
Bathytroctes michaelsarsi	False	False	False
Clupeichthys perakensis	False	False	False
Talismania bifurcata	False	False	False
Anodontostoma chacunda	False	False	False
Trachurus japonicus	False	False	False
Osteochilus salsburyi	False	False	False
Kyphosus cinerascens	False	False	False
Pampus punctatissimus	False	False	False
Pentaceros japonicus	False	False	False
Bregmaceros nectabanus	False	False	False
Peprilus triacanthus	False	False	False
Coilia reynaldi	False	False	False
Anguilla bengalensis	False	False	False
Scarus schlegeli	False	False	False
Barbatula toni	False	False	False
Trigonostigma heteromorpha	False	False	False
Bolinichthys distofax	False	False	False
Channa maculata	False	False	False
Pungitius kaibarae	False	False	False
Rondeletia loricata	False	False	False
Silurus lanzhouensis	False	False	False
Puck pinnata	False	False	False
Siganus fuscescens	False	False	False
Herwigia kreffti	False	False	False
Euchiloglanis kishinouyei	False	False	False
Katsuwonus pelamis	True	True	True
Eutaeniophorus festivus	False	False	False
Lagocephalus laevigatus	False	False	False
Maulisia mauli	False	False	False
Himantolophus groenlandicus	False	False	False
Bathytroctes microlepis	False	False	False
Silurus glanis	False	False	False
Tenualosa thibaudeaui	False	False	False
Hippocampus kuda	False	False	False
Notoscopelus caudispinosus	False	False	False
Gillichthys mirabilis	True	False	False
Polyspina piosae	False	False	False
Ivindomyrus marchei	False	False	False
Boulengerella maculata	False	False	False
Reinhardtius hippoglossoides	False	False	False
Opsariichthys bidens	False	False	False
Coryphaena hippurus	False	False	False
Liobagrus kingi	False	False	False
Pseudotropheus crabro	False	False	False
Coregonus nasus	False	False	False
Physiculus japonicus	False	False	False
Lophiomus setigerus	False	False	False
Oncorhynchus gorbuscha	False	True	False
Ischikauia steenackeri	False	False	False
Melanogrammus aeglefinus	True	True	False
Alosa sapidissima	False	False	False
Mallotus villosus	False	False	False
Symbolophorus californiensis	True	False	False
Polymixia japonica	False	False	False
Diaphus gigas	False	False	False
Alepocephalus umbriceps	False	False	False
Canthigaster jactator	False	False	False
Canthigaster valentini	False	False	False
Hypophthalmichthys nobilis	False	False	False
Epinephelus merra	False	False	False
Tribolodon sachalinensis	False	False	False
Onychostoma barbatulum	False	False	False
Pteraclis aesticola	False	False	False
Lampris guttatus	False	False	False
Acrossocheilus wenchowensis	False	False	False
Oryzias celebensis	False	False	False
Clupea harengus	False	True	True
Zacco platypus	False	False	False
Tetraodon biocellatus	False	False	False
Gobiocypris rarus	False	False	False
Xyrauchen texanus	False	False	False
Amblydoras gonzalezi	False	False	False
Colomesus psittacus	False	False	False
Distichodus sexfasciatus	False	False	False
Lutjanus bengalensis	False	False	False
Chaetodermis penicilligera	False	False	False
Conocara macropterum	False	False	False
Tetragonurus atlanticus	False	False	False
Diaphus splendidus	False	False	False
Vaillantella maassi	False	False	False
Diaphus lucidus	False	False	False
Hemibarbus maculatus	False	False	False
Coelorinchus kishinouyei	False	False	False
Nealotus tripes	False	False	False
Acentrogobius chlorostigmatoides	False	False	False
Sprattus sprattus	False	True	False
Nematalosa come	False	False	False
Astatotilapia calliptera	False	False	False
Thunnus maccoyii	False	False	False
Percocypris pingi	False	False	False
Oreochromis aureus	True	False	False
Triacanthodes anomalus	False	False	False
Assurger anzac	False	False	False
Colisa lalia	False	False	False
Abudefduf vaigiensis	False	False	False
Ablennes hians	False	False	False
Pellona flavipinnis	False	False	False
Culaea inconstans	False	False	False
Bahaba taipingensis	False	False	False
Naso lopezi	False	False	False
Homaloptera leonardi	False	False	False
Nesiarchus nasutus	False	False	False
Bassozetus zenkevitchi	False	False	False
Aeoliscus strigatus	False	False	False
Gymnosarda unicolor	False	False	False
Anguilla malgumora	False	False	False
Xenotoca eiseni	False	False	False
Lagocephalus sceleratus	False	False	False
Clupanodon thrissa	False	False	False
Odonus niger	False	False	False
Lophius americanus	False	False	False
Xiphias gladius	False	True	False
Bostrychus sinensis	False	False	False
Pseudobagrus brevicaudatus	False	False	False
Simenchelys parasitica	False	False	False
Erpetoichthys calabaricus	True	False	False
Nemichthys scolopaceus	False	False	False
Gymnoscopelus nicholsi	False	False	False
