species	temperature_min	temperature_max	climate	environment	depth_min	depth_max	metabolism_data	speed_data	gill_area_data
Tetragonurus atlanticus	NA	NA	subtropical	pelagic-oceanic oceanodromous marine	0	800	False	False	False
Tetragonurus cuvieri	NA	NA	NA	bathypelagic marine deep-water oceanodromous	1	800	False	False	False
Tetranematichthys quadrifilis	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Tetraodon biocellatus	22.0	26.0	tropical	freshwater demersal	NA	NA	False	False	False
Tetraodon cutcutia	24.0	28.0	tropical	freshwater brackish potamodromous demersal	NA	NA	False	False	False
Tetraodon mbu	24.0	26.0	tropical	freshwater brackish demersal	NA	NA	False	False	False
Tetraodon miurus	24.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Tetraodon nigroviridis	24.0	28.0	tropical	freshwater brackish demersal	NA	NA	False	False	False
Tetraodon palembangensis	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Tetrapturus angustirostris	NA	NA	subtropical	pelagic-oceanic oceanodromous marine	0	1830	False	False	False
Tetrapturus audax	20.0	25.0	subtropical	pelagic-oceanic oceanodromous marine	0	200	False	True	False
Thamnaconus modestus	NA	NA	tropical	reef-associated oceanodromous marine	NA	NA	False	False	False
Thaumatichthys pagidostomus	NA	NA	NA	bathydemersal marine deep-water	1392	1393	False	False	False
Theragra finnmarchica	NA	NA	polar	benthopelagic marine	NA	NA	False	False	False
Thryssa baelama	NA	NA	tropical	reef-associated marine brackish	0	50	False	False	False
Thunnus alalunga	10.0	25.0	subtropical	pelagic-oceanic oceanodromous marine	0	600	True	False	False
Thunnus albacares	15.0	31.0	tropical	pelagic-oceanic oceanodromous marine brackish	1	250	False	True	True
Thunnus maccoyii	5.0	20.0	temperate	pelagic-oceanic oceanodromous marine	50	2743	False	False	False
Thunnus obesus	13.0	29.0	subtropical	pelagic-oceanic oceanodromous marine	0	250	False	True	False
Thunnus orientalis	NA	NA	subtropical	pelagic-oceanic oceanodromous marine brackish	1	200	False	False	False
Thunnus thynnus	3.0	30.0	subtropical	pelagic-oceanic oceanodromous marine brackish	0	985	False	True	True
Thunnus tonggol	NA	NA	tropical	oceanodromous marine pelagic-neritic	10	NA	False	False	False
Thymallus arcticus	NA	NA	temperate	freshwater benthopelagic	30	NA	True	False	False
Thymallus thymallus	6.0	18.0	temperate	freshwater benthopelagic brackish non-migratory	15	NA	False	False	False
Thyrsitoides marleyi	NA	NA	NA	benthopelagic marine deep-water	0	400	False	False	False
Tinca tinca	4.0	24.0	temperate	freshwater brackish potamodromous demersal	1	NA	True	False	True
