species	temperature_min	temperature_max	climate	environment	depth_min	depth_max	metabolism_data	speed_data	gill_area_data
Astronotus ocellatus	22.0	25.0	tropical	freshwater benthopelagic	NA	NA	True	False	False
Astyanax mexicanus	NA	NA	subtropical	freshwater benthopelagic potamodromous	NA	NA	False	False	False
Ataxolepis apus	NA	NA	tropical	bathypelagic marine	1464	NA	False	False	False
Ateleopus japonicus	NA	NA	NA	bathydemersal marine deep-water	140	600	False	False	False
Atractosteus spatula	NA	NA	subtropical	freshwater brackish demersal	0	NA	False	False	False
Auchenoglanis occidentalis	21.0	25.0	tropical	freshwater demersal potamodromous	NA	NA	False	False	False
Aulichthys japonicus	NA	NA	temperate	benthopelagic marine	NA	NA	False	False	False
Aulopus japonicus	NA	NA	tropical	marine demersal	85	510	False	False	False
Aulorhynchus flavidus	NA	NA	temperate	benthopelagic marine	0	30	False	False	False
Aulostomus chinensis	NA	NA	tropical	reef-associated marine	3	122	False	False	False
Auriglobus modestus	23.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Auxis rochei	NA	28.0	tropical	oceanodromous marine brackish pelagic-neritic	10	NA	False	True	False
Auxis thazard	27.0	28.0	tropical	oceanodromous marine pelagic-neritic	50	NA	False	False	False
Avocettina infans	NA	NA	NA	bathypelagic marine deep-water	0	4580	False	False	False
Bagarius yarrelli	NA	NA	tropical	freshwater demersal potamodromous	NA	NA	False	False	False
Bahaba taipingensis	NA	NA	subtropical	benthopelagic marine brackish	NA	NA	False	False	False
Bajacalifornia megalops	NA	NA	NA	bathypelagic marine deep-water	150	3200	False	False	False
Balistapus undulatus	NA	NA	tropical	reef-associated marine	2	50	False	False	False
Balistes vetula	28.0	NA	tropical	reef-associated marine	2	275	False	False	False
Balistoides conspicillum	NA	NA	tropical	reef-associated marine brackish	1	75	False	False	False
Barbatula toni	NA	NA	temperate	freshwater demersal	NA	NA	False	False	False
Barbonymus gonionotus	22.0	28.0	tropical	freshwater benthopelagic potamodromous	15	NA	False	False	False
Barbourisia rufa	NA	NA	NA	bathydemersal marine deep-water	120	2000	False	False	False
Barbus barbus	10.0	24.0	temperate	freshwater benthopelagic potamodromous	10	NA	False	False	False
Barbus trimaculatus	24.0	26.0	tropical	freshwater benthopelagic potamodromous	NA	NA	False	False	False
Barilius bendelisis	22.0	NA	tropical	freshwater benthopelagic potamodromous	NA	NA	False	False	False
Bassozetus zenkevitchi	NA	NA	NA	bathypelagic marine deep-water	0	6930	False	False	False
Bathygadus antrodes	NA	NA	NA	bathydemersal marine deep-water	792	1200	False	False	False
Bathylaco nigricans	NA	NA	NA	bathypelagic marine deep-water	450	4376	False	False	False
Bathyprion danae	NA	NA	NA	bathypelagic marine deep-water	100	3200	False	False	False
Bathytroctes breviceps	NA	NA	NA	bathypelagic marine deep-water	NA	1650	False	False	False
Bathytroctes macrolepis	NA	NA	NA	bathypelagic marine deep-water	2500	5850	False	False	False
Bathytroctes michaelsarsi	NA	NA	NA	bathypelagic marine deep-water	2010	5057	False	False	False
Bathytroctes microlepis	NA	NA	NA	bathypelagic marine deep-water	0	4900	False	False	False
Batrachomoeus trispinosus	NA	NA	tropical	reef-associated marine brackish	NA	NA	False	False	False
Benthodesmus tenuis	NA	NA	NA	benthopelagic marine deep-water	200	850	False	False	False
Benthosema fibulatum	NA	NA	NA	bathypelagic marine deep-water oceanodromous	0	2000	False	False	False
Benthosema glaciale	NA	NA	NA	pelagic-oceanic marine non-migratory deep-water	0	1407	False	False	False
Benthosema pterotum	NA	NA	NA	bathypelagic marine deep-water	10	300	False	False	False
Bertella idiomorpha	NA	NA	temperate	marine demersal	0	3475	False	False	False
Beryx decadactylus	NA	NA	NA	bathydemersal marine deep-water	110	1000	False	False	False
Beryx splendens	NA	NA	subtropical	benthopelagic marine	25	1300	False	False	False
Biwia zezera	NA	NA	temperate	freshwater demersal	NA	NA	False	False	False
Blicca bjoerkna	4.0	20.0	temperate	freshwater brackish potamodromous demersal	0	NA	False	False	True
Boleophthalmus pectinirostris	26.0	30.0	tropical	non-migratory freshwater marine brackish demersal	0	NA	False	False	False
Bolinichthys distofax	NA	NA	NA	pelagic-oceanic marine non-migratory deep-water	100	690	False	False	False
Bolinichthys pyrsobolus	NA	NA	NA	pelagic-oceanic marine deep-water	NA	778	False	False	False
Boraras maculatus	24.0	26.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Boreogadus saida	NA	NA	polar	oceanodromous marine brackish demersal	0	400	True	False	False
Bostrychus sinensis	NA	NA	tropical	amphidromous freshwater marine brackish demersal	NA	NA	False	False	False
Boulengerella maculata	23.0	27.0	tropical	pelagic freshwater	NA	NA	False	False	False
Boulengeromyrus knoepffleri	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Brachaluteres ulvarum	NA	NA	temperate	reef-associated marine	25	30	False	False	False
Brachyhypopomus occidentalis	24.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Brachymystax lenok	NA	NA	temperate	anadromous freshwater benthopelagic	NA	NA	False	False	False
Brama japonica	9.0	21.0	subtropical	pelagic-oceanic oceanodromous marine	0	620	False	False	False
Branchiostegus albus	NA	NA	temperate	benthopelagic marine	30	100	False	False	False
Branchiostegus argentatus	NA	NA	tropical	marine demersal	51	65	False	False	False
Branchiostegus japonicus	NA	NA	tropical	marine demersal	30	200	False	False	False
Bregmaceros nectabanus	NA	NA	tropical	marine non-migratory pelagic-neritic	NA	350	False	False	False
Brevimyrus niger	22.0	24.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Brevoortia tyrannus	NA	26.0	subtropical	oceanodromous marine brackish pelagic-neritic	0	50	True	True	True
Brienomyrus brachyistius	25.0	28.0	tropical	freshwater benthopelagic brackish	NA	NA	False	False	False
Brienomyrus niger	22.0	24.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Bufoceratias thele	NA	NA	NA	bathypelagic marine deep-water	0	1500	False	False	False
Bunocephalus coracoideus	25.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Callionymus curvicornis	NA	NA	subtropical	freshwater marine brackish demersal	NA	NA	False	False	False
Campostoma anomalum	NA	NA	subtropical	freshwater benthopelagic	NA	NA	True	False	False
Campylomormyrus numenius	22.0	25.0	tropical	freshwater demersal	NA	NA	False	False	False
Cantherhines pardalis	NA	NA	tropical	reef-associated marine	2	20	False	False	False
Canthidermis maculata	NA	NA	subtropical	reef-associated marine	1	110	False	False	False
Canthigaster coronata	NA	NA	tropical	reef-associated marine	6	165	False	False	False
Canthigaster jactator	NA	NA	tropical	reef-associated marine	1	30	False	False	False
Canthigaster rivulata	NA	NA	tropical	reef-associated marine	0	350	False	False	False
Canthigaster valentini	NA	NA	tropical	reef-associated marine	1	55	False	False	False
Carangoides armatus	NA	NA	tropical	reef-associated marine brackish	NA	NA	False	False	False
Caranx melampygus	NA	NA	tropical	reef-associated marine brackish	0	190	False	False	False
Carapus bermudensis	NA	NA	tropical	reef-associated marine non-migratory	1	235	False	False	False
Carassius auratus	NA	41.0	subtropical	freshwater benthopelagic potamodromous	0	20	True	True	True
Carassius carassius	2.0	22.0	temperate	freshwater brackish potamodromous demersal	5	NA	True	False	False
Carassius gibelio	10.0	20.0	temperate	freshwater benthopelagic brackish potamodromous	0	NA	False	False	False
Carinotetraodon lorteti	24.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Carinotetraodon salivator	NA	NA	tropical	freshwater benthopelagic	1	2	False	False	False
Caristius macropus	NA	NA	NA	bathypelagic marine deep-water	200	1450	False	False	False
Carnegiella strigata	24.0	28.0	tropical	pelagic freshwater	NA	NA	False	False	False
Carpiodes carpio	NA	NA	subtropical	freshwater demersal	NA	NA	False	False	False
Cataetyx rubrirostris	NA	NA	NA	bathydemersal marine deep-water	300	1000	False	False	False
Catla catla	18.0	28.0	subtropical	freshwater benthopelagic brackish potamodromous	5	NA	False	False	True
Catostomus commersonii	NA	29.0	temperate	catadromous freshwater demersal	NA	NA	True	False	True
Caulophryne jordani	NA	NA	NA	bathypelagic marine deep-water	100	1510	False	False	False
Caulophryne pelagica	NA	NA	NA	bathypelagic marine deep-water	NA	2500	False	False	False
Centrobranchus choerocephalus	NA	NA	NA	bathypelagic marine deep-water	NA	1050	False	False	False
Centromochlus perugiae	26.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Centropyge loricula	NA	NA	tropical	reef-associated marine brackish non-migratory	15	60	False	False	False
Cephalopholis argus	24.0	28.0	tropical	reef-associated marine non-migratory	1	40	False	False	False
Cephalopholis boenak	NA	NA	tropical	reef-associated marine non-migratory	1	64	False	False	False
Cephalopholis sonnerati	NA	NA	tropical	reef-associated marine non-migratory	10	150	False	False	False
Ceratias uranoscopus	NA	NA	NA	bathypelagic marine deep-water	0	2091	False	False	False
Ceratoscopelus maderensis	NA	NA	NA	bathypelagic marine deep-water oceanodromous	51	1082	False	False	False
Cetostoma regani	NA	NA	NA	bathypelagic marine deep-water	0	2250	False	False	False
Chaca bankanensis	24.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Chaenocephalus aceratus	NA	NA	polar	marine demersal	5	770	True	False	True
Chaenomugil proboscideus	NA	NA	tropical	marine pelagic-neritic	NA	NA	False	False	False
Chaenophryne melanorhabdus	NA	NA	NA	bathypelagic marine deep-water	NA	1250	False	False	False
Chaetodermis penicilligera	NA	NA	tropical	reef-associated marine	NA	NA	False	False	False
Chaetodon auripes	NA	NA	tropical	reef-associated marine non-migratory	NA	NA	False	False	False
Chaetodontoplus septentrionalis	NA	NA	tropical	reef-associated marine non-migratory	5	15	False	False	False
Chaeturichthys stigmatias	NA	NA	temperate	marine demersal	NA	NA	False	False	False
Chalceus macrolepidotus	23.0	28.0	tropical	pelagic freshwater	NA	NA	False	False	False
Champsocephalus gunnari	NA	NA	polar	pelagic-oceanic marine	0	700	False	False	False
Channa argus	14.0	22.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Channa maculata	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Chanodichthys dabryi	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Chanodichthys mongolicus	10.0	20.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Chanos chanos	15.0	43.0	tropical	amphidromous benthopelagic freshwater marine brackish	1	30	True	False	False
Chauliodus sloani	NA	NA	NA	bathypelagic marine deep-water	200	4700	False	False	False
Chaunax abei	NA	NA	tropical	marine demersal	90	500	False	False	False
Chaunax pictus	NA	NA	NA	bathydemersal marine deep-water	200	978	False	False	False
Chaunax tosaensis	NA	NA	temperate	marine demersal	NA	NA	False	False	False
Cheilinus undulatus	NA	NA	tropical	reef-associated marine	1	100	False	False	False
Cheilochromis euchilus	24.0	26.0	tropical	freshwater benthopelagic non-migratory	NA	NA	False	False	False
Chelon labrosus	NA	NA	subtropical	catadromous freshwater marine brackish demersal	NA	NA	True	False	False
Chelonodon patoca	23.0	28.0	tropical	anadromous reef-associated freshwater marine brackish	4	NA	False	False	False
Chelonodon pleurospilus	NA	NA	subtropical	marine demersal	NA	NA	False	False	False
Chilodus punctatus	24.0	28.0	tropical	pelagic freshwater	NA	NA	False	False	False
Chilomycterus reticulatus	NA	NA	subtropical	reef-associated marine	20	100	False	False	False
Chionodraco myersi	NA	NA	NA	bathydemersal marine deep-water	200	800	False	False	False
Chirocentrus dorab	NA	NA	tropical	amphidromous reef-associated marine brackish	NA	120	False	False	False
Chitala blanci	NA	NA	tropical	freshwater demersal potamodromous	NA	NA	False	False	False
Chitala lopis	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Chitala ornata	24.0	28.0	tropical	pelagic freshwater potamodromous	NA	NA	False	False	False
Chlorophthalmus agassizi	5.0	13.0	NA	bathydemersal marine brackish deep-water	50	1000	False	False	False
Chlorurus sordidus	NA	NA	tropical	reef-associated oceanodromous marine brackish	0	50	False	False	False
Chondrostoma lemmingii	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Chromobotia macracanthus	25.0	30.0	tropical	freshwater demersal	NA	NA	False	False	False
Chrysochir aureus	NA	NA	tropical	benthopelagic marine brackish	NA	NA	False	False	False
Cirrhinus molitorella	22.0	26.0	tropical	freshwater benthopelagic potamodromous	5	20	False	False	False
Cirrhinus mrigala	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Citharinus congicus	22.0	26.0	tropical	pelagic freshwater	NA	NA	False	False	False
Clinocottus analis	NA	NA	subtropical	marine demersal non-migratory	0	18	True	False	False
Clupanodon thrissa	NA	NA	tropical	anadromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Clupea harengus	1.0	18.0	temperate	benthopelagic oceanodromous marine brackish	0	364	False	True	True
Clupea pallasii	NA	NA	temperate	non-migratory freshwater marine brackish pelagic-neritic	0	475	False	False	False
Clupeichthys aesarnensis	NA	NA	tropical	pelagic freshwater potamodromous	NA	NA	False	False	False
Clupeichthys goniognathus	NA	NA	tropical	pelagic freshwater	NA	NA	False	False	False
Clupeichthys perakensis	NA	NA	tropical	pelagic freshwater	NA	NA	False	False	False
Clupeoides borneensis	NA	NA	tropical	pelagic freshwater brackish	NA	NA	False	False	False
Clupeonella cultriventris	NA	NA	temperate	anadromous freshwater marine brackish pelagic-neritic	10	13	False	False	False
Cobitis choii	NA	NA	subtropical	freshwater demersal non-migratory	NA	NA	False	False	False
Cobitis sinensis	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Cobitis striata	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Cobitis takatsuensis	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Coelophrys brevicaudata	NA	NA	subtropical	marine demersal	NA	1024	False	False	False
Coelorinchus kishinouyei	8.0	12.0	NA	bathydemersal marine non-migratory deep-water	250	450	False	False	False
Coilia ectenes	NA	NA	subtropical	anadromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Coilia lindmani	NA	NA	tropical	pelagic freshwater brackish	NA	NA	False	False	False
Coilia mystus	NA	NA	tropical	amphidromous freshwater marine brackish pelagic-neritic	10	NA	False	False	False
Coilia nasus	NA	NA	subtropical	anadromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Coilia reynaldi	NA	NA	tropical	amphidromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Colisa lalia	25.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Collichthys lucidus	NA	NA	subtropical	oceanodromous marine demersal	NA	90	False	False	False
Collichthys niveatus	NA	NA	subtropical	oceanodromous marine demersal	NA	NA	False	False	False
Coloconger cadenati	NA	NA	NA	bathydemersal marine deep-water	270	600	False	False	False
Cololabis saira	NA	NA	subtropical	pelagic-oceanic oceanodromous marine	0	230	False	False	False
Colomesus asellus	22.0	28.0	tropical	freshwater demersal	NA	NA	False	False	False
Colomesus psittacus	23.0	26.0	tropical	freshwater marine brackish demersal	NA	40	False	False	False
Conger myriaster	NA	NA	temperate	oceanodromous marine demersal	320	830	False	False	False
Conocara macropterum	NA	NA	NA	bathypelagic marine deep-water	800	2200	False	False	False
Conocara murrayi	NA	NA	NA	bathypelagic marine deep-water	1200	2603	False	False	False
Coregonus clupeaformis	NA	NA	temperate	anadromous freshwater marine brackish demersal	18	128	False	False	False
Coregonus lavaretus	4.0	16.0	temperate	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Coregonus nasus	NA	NA	polar	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Coregonus oxyrinchus	4.0	20.0	temperate	anadromous freshwater marine brackish demersal	NA	NA	False	False	False
Coreius guichenoti	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Coreius heterodon	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Coreoleuciscus splendidus	NA	NA	temperate	freshwater demersal	NA	NA	False	False	False
Coreoperca kawamebari	10.0	23.0	temperate	freshwater benthopelagic	NA	NA	False	False	False
Corydoras rabauti	23.0	25.0	tropical	freshwater demersal	NA	NA	False	False	False
Coryphaena equiselis	24.0	NA	subtropical	pelagic-oceanic oceanodromous marine	0	NA	False	False	False
Coryphaena hippurus	21.0	30.0	subtropical	oceanodromous marine brackish pelagic-neritic	0	85	False	False	False
Cottus hangiongensis	NA	NA	temperate	catadromous freshwater marine brackish demersal	NA	NA	False	False	False
Cottus poecilopus	NA	NA	temperate	freshwater brackish demersal	0	15	False	False	False
Cottus reinii	NA	NA	temperate	freshwater demersal	NA	NA	False	False	False
Cranoglanis bouderius	NA	NA	tropical	freshwater demersal	NA	NA	False	False	False
Crenimugil crenilabis	NA	NA	tropical	reef-associated marine brackish non-migratory	0	20	False	False	False
Crenuchus spilurus	24.0	28.0	tropical	pelagic freshwater	NA	NA	False	False	False
Creteuchiloglanis kamengensis	NA	NA	NA	freshwater benthopelagic	NA	NA	False	False	False
Cromeria nilotica	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Cromeria occidentalis	25.0	30.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Cromileptes altivelis	NA	NA	tropical	reef-associated marine	2	40	False	False	False
Crossorhombus azureus	NA	NA	tropical	marine demersal	13	60	False	False	False
Crossostoma lacustre	NA	NA	subtropical	freshwater demersal	1	10	False	False	False
Cryptopsaras couesii	NA	NA	NA	bathypelagic marine deep-water	0	3085	False	False	False
Ctenolucius hujeta	22.0	25.0	tropical	pelagic freshwater	NA	NA	False	False	False
Ctenopharyngodon idella	NA	35.0	subtropical	freshwater demersal potamodromous	0	30	True	False	True
Cubiceps pauciradiatus	NA	NA	tropical	bathypelagic marine	58	1000	False	False	False
Culaea inconstans	4.0	18.0	temperate	freshwater demersal	0	55	False	False	False
Culter alburnus	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Culter mongolicus	10.0	20.0	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Curimatopsis evelynae	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Cycleptus elongatus	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Cyema atrum	NA	NA	NA	bathypelagic marine deep-water	330	5100	False	False	False
Cymatogaster aggregata	NA	NA	subtropical	non-migratory freshwater marine brackish demersal	NA	146	False	True	False
Cynoglossus abbreviatus	NA	NA	NA	marine demersal deep-water	20	85	False	False	False
Cynoglossus semilaevis	NA	NA	subtropical	freshwater marine brackish demersal	NA	NA	False	False	False
Cynoponticus ferox	NA	NA	subtropical	marine demersal	10	100	False	False	False
Cynotilapia afra	23.0	27.0	tropical	freshwater benthopelagic	3	30	False	False	False
Cyphomyrus discorhynchus	22.0	24.0	tropical	freshwater demersal	NA	NA	False	False	False
Cyprinella lutrensis	15.0	25.0	temperate	freshwater benthopelagic	NA	NA	True	False	False
Cyprinella spiloptera	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
Cyprinodon rubrofluviatilis	10.0	30.0	temperate	freshwater benthopelagic non-migratory	NA	NA	False	False	False
Cyprinus carpio	3.0	35.0	subtropical	freshwater benthopelagic brackish potamodromous	NA	NA	True	True	True
Cypselurus hiraii	NA	NA	temperate	marine pelagic-neritic	NA	NA	False	False	False
Dactyloptena peterseni	NA	NA	tropical	marine demersal	50	210	False	False	False
Dactyloptena tiltoni	NA	NA	NA	bathydemersal marine deep-water	119	565	False	False	False
Dallia pectoralis	4.0	14.0	boreal	freshwater demersal	NA	NA	False	False	False
Danacetichthys galathenus	NA	NA	NA	bathypelagic marine deep-water	0	1330	False	False	False
Danio dangila	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Danio rerio	18.0	24.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Danionella mirifica	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Dendrophysa russelii	NA	NA	tropical	amphidromous freshwater marine brackish demersal	NA	NA	False	False	False
Denticeps clupeoides	20.0	25.0	tropical	pelagic freshwater	NA	NA	False	False	False
Derichthys serpentinus	NA	NA	NA	bathypelagic marine deep-water	0	2000	False	False	False
Diagramma picta	NA	NA	tropical	reef-associated marine non-migratory	1	170	False	False	False
Diaphus chrysorhynchus	NA	NA	NA	bathypelagic marine deep-water	213	587	False	False	False
Diaphus gigas	NA	NA	temperate	pelagic-oceanic marine	100	500	False	False	False
Diaphus lucidus	NA	NA	NA	bathypelagic marine deep-water oceanodromous	0	2999	False	False	False
Diaphus luetkeni	NA	NA	NA	bathypelagic marine deep-water oceanodromous	40	750	False	False	False
Diaphus splendidus	NA	NA	NA	bathypelagic marine deep-water oceanodromous	0	8000	False	False	False
Diaphus theta	NA	NA	NA	bathypelagic marine deep-water	0	3400	True	False	False
Diceratias pileatus	NA	NA	NA	bathypelagic marine deep-water	640	1430	False	False	False
Dimidiochromis compressiceps	22.0	28.0	tropical	freshwater benthopelagic	NA	NA	True	False	False
Diodon holocanthus	NA	NA	subtropical	reef-associated marine	2	200	False	False	False
Diogenichthys atlanticus	NA	NA	NA	bathypelagic marine deep-water oceanodromous	0	1050	False	False	False
Diplacanthopoma brachysoma	NA	NA	NA	bathydemersal marine deep-water	460	1670	False	False	False
Diplomystes nahuelbutaensis	NA	NA	subtropical	freshwater demersal	NA	NA	False	False	False
Diplotaxodon limnothrissa	NA	NA	tropical	pelagic freshwater	20	220	False	False	False
Diretmoides veriginae	NA	NA	NA	bathypelagic marine deep-water	340	1300	False	False	False
Diretmus argenteus	NA	NA	NA	bathypelagic marine deep-water	0	2000	False	False	False
Dissostichus eleginoides	NA	NA	temperate	pelagic-oceanic oceanodromous marine	50	3850	False	False	False
Distichodus sexfasciatus	22.0	26.0	tropical	pelagic freshwater	NA	NA	False	False	False
Distoechodon tumirostris	NA	NA	subtropical	freshwater benthopelagic	10	20	False	False	False
Ditrema temminckii	NA	NA	temperate	marine demersal	NA	NA	False	False	False
Doederleinia berycoides	NA	NA	tropical	marine demersal	100	600	False	False	False
Dorosoma cepedianum	NA	32.0	subtropical	anadromous freshwater marine brackish pelagic-neritic	NA	33	True	False	False
Dorosoma petenense	1.0	35.0	subtropical	anadromous freshwater marine brackish pelagic-neritic	0	15	False	False	False
Dysalotus alcocki	NA	NA	NA	bathypelagic marine deep-water oceanodromous	0	2100	False	False	False
Echeneis naucrates	NA	NA	subtropical	reef-associated marine brackish	1	50	False	False	False
Ehirava fluviatilis	NA	NA	tropical	amphidromous freshwater marine brackish pelagic-neritic	NA	NA	False	False	False
Elassoma evergladei	10.0	30.0	temperate	freshwater demersal	NA	NA	False	False	False
Elassoma zonatum	10.0	25.0	temperate	freshwater demersal	NA	NA	False	False	False
Electrona antarctica	NA	NA	polar	oceanodromous marine demersal	NA	NA	True	False	False
Electrophorus electricus	23.0	28.0	tropical	freshwater benthopelagic	NA	NA	False	False	False
Eleotris acanthopoma	NA	NA	tropical	amphidromous freshwater marine brackish demersal	NA	NA	False	False	False
Eleutheronema tetradactylum	NA	NA	tropical	amphidromous freshwater marine brackish pelagic-neritic	0	23	False	False	False
Elops hawaiensis	NA	NA	tropical	anadromous freshwater marine brackish pelagic-neritic	1	30	False	False	False
Elops saurus	NA	NA	subtropical	amphidromous reef-associated marine brackish	NA	50	False	False	False
Emmelichthys struhsakeri	NA	NA	temperate	benthopelagic marine	180	428	False	False	False
Engraulis encrasicolus	NA	NA	subtropical	oceanodromous marine brackish pelagic-neritic	0	400	False	False	True
Engraulis japonicus	8.0	30.0	temperate	oceanodromous marine pelagic-neritic	0	400	True	False	False
Enophrys diceraus	NA	NA	temperate	marine demersal	0	380	False	False	False
Enoplosus armatus	NA	NA	temperate	reef-associated marine brackish	NA	90	False	False	False
Epinephelus akaara	NA	NA	tropical	reef-associated marine	NA	55	True	False	False
Epinephelus areolatus	NA	NA	tropical	reef-associated marine	6	200	False	False	False
Epinephelus awoara	NA	NA	tropical	reef-associated marine	10	50	False	False	False
Epinephelus bruneus	NA	NA	tropical	reef-associated marine	20	200	False	False	False
Epinephelus coioides	NA	NA	subtropical	reef-associated marine brackish	NA	100	False	False	False
Epinephelus epistictus	NA	NA	tropical	marine demersal	71	291	False	False	False
Epinephelus fasciatomaculosus	NA	NA	tropical	reef-associated marine	15	30	False	False	False
Epinephelus fuscoguttatus	NA	NA	tropical	reef-associated marine	1	60	False	False	False
Epinephelus lanceolatus	NA	NA	tropical	reef-associated marine brackish	4	100	False	False	False
Epinephelus latifasciatus	NA	NA	tropical	marine demersal	20	230	False	False	False
Epinephelus merra	NA	NA	tropical	reef-associated marine	0	50	False	False	False
Epinephelus moara	NA	NA	tropical	reef-associated marine	20	200	False	False	False
Epinephelus quoyanus	NA	NA	tropical	reef-associated marine	NA	50	False	False	False
Epinephelus septemfasciatus	NA	NA	tropical	reef-associated marine non-migratory	5	30	False	False	False
Epinephelus sexfasciatus	NA	NA	tropical	reef-associated marine	10	80	False	False	False
Epinephelus stictus	NA	NA	tropical	marine demersal	60	142	False	False	False
Epinephelus trimaculatus	NA	NA	tropical	reef-associated marine	NA	30	False	False	False
Erimyzon oblongus	NA	NA	subtropical	freshwater demersal	NA	NA	True	False	False
Erpetoichthys calabaricus	22.0	28.0	tropical	freshwater brackish demersal	0	NA	True	False	False
Escualosa thoracata	NA	NA	tropical	amphidromous freshwater marine brackish pelagic-neritic	0	50	False	False	False
Esomus metallicus	22.0	26.0	tropical	freshwater benthopelagic brackish	NA	NA	False	False	False
Esox lucius	10.0	28.0	subtropical	freshwater brackish potamodromous demersal	0	30	True	True	True
Esox niger	10.0	20.0	temperate	freshwater demersal non-migratory	NA	6	False	False	False
Etheostoma radiosum	NA	NA	subtropical	freshwater benthopelagic	NA	NA	False	False	False
Ethmalosa fimbriata	NA	NA	tropical	catadromous freshwater marine brackish pelagic-neritic	0	NA	False	False	False
Ethmidium maculatum	NA	NA	tropical	marine pelagic-neritic	0	50	False	False	False
Etroplus maculatus	20.0	25.0	tropical	amphidromous freshwater benthopelagic brackish	NA	NA	False	False	False
Etrumeus micropus	NA	NA	subtropical	marine pelagic-neritic	NA	NA	False	False	False
Eubalichthys mosaicus	NA	NA	temperate	reef-associated marine	NA	140	False	False	False
Euchiloglanis kishinouyei	NA	NA	subtropical	freshwater demersal	NA	NA	False	False	False
Eumegistus illustris	NA	NA	NA	bathypelagic marine deep-water	1	520	False	False	False
Eurypegasus draconis	NA	NA	tropical	reef-associated marine brackish	3	91	False	False	False
Eutaeniophorus festivus	NA	NA	NA	bathypelagic marine deep-water	0	200	False	False	False
Euthynnus alletteratus	NA	NA	tropical	reef-associated oceanodromous marine brackish	1	150	False	False	True
Evoxymetopon poeyi	NA	NA	tropical	benthopelagic marine	NA	NA	False	False	False
Exocoetus volitans	NA	NA	subtropical	oceanodromous marine pelagic-neritic	0	20	False	False	False
Exostoma labiatum	NA	NA	NA	freshwater demersal	NA	NA	False	False	False
Facciolella oxyrhyncha	NA	NA	subtropical	marine demersal	30	731	False	False	False
Fistularia commersonii	NA	NA	tropical	reef-associated marine	0	132	False	False	False
Fundulus diaphanus	10.0	25.0	temperate	freshwater benthopelagic brackish non-migratory	NA	NA	False	False	False
Fundulus grandis	22.0	26.0	tropical	freshwater benthopelagic brackish potamodromous	NA	NA	True	False	False
Fundulus heteroclitus	10.0	24.0	temperate	benthopelagic freshwater marine brackish non-migratory	NA	NA	True	False	False
Fundulus olivaceus	15.0	25.0	temperate	freshwater benthopelagic non-migratory	NA	NA	False	False	False
Gadus chalcogrammus	NA	NA	polar	benthopelagic marine brackish non-migratory	0	1280	True	False	False
Gadus morhua	NA	15.0	temperate	benthopelagic oceanodromous marine brackish	0	600	True	True	False
Gadus ogac	NA	NA	polar	oceanodromous marine brackish demersal	0	200	True	False	False
Gagata dolichonema	NA	NA	tropical	freshwater benthopelagic	NA	NA	False	False	False
Galaxias gollumoides	NA	NA	temperate	freshwater benthopelagic	NA	NA	False	False	False
