species	temperature_min	temperature_max	climate	environment
Pygocentrus nattereri	23.0	27.0	subtropical	pelagic freshwater
Alosa sapidissima			temperate	anadromous freshwater marine brackish pelagic-neritic
Scopelengys tristis				bathypelagic marine deep-water oceanodromous
Cynoglossus semilaevis			subtropical	freshwater marine brackish demersal
Pseudorasbora pumila	15.0	20.0	temperate	freshwater benthopelagic
Lutjanus rivulatus			tropical	reef-associated marine
Talismania bifurcata				bathydemersal marine deep-water
Spinibarbus sinensis			subtropical	freshwater benthopelagic
Solenostomus cyanopterus			tropical	reef-associated marine
Chelon labrosus			subtropical	catadromous freshwater marine brackish demersal
Chaetodon auripes			tropical	reef-associated marine non-migratory
Alepocephalus longiceps				bathydemersal marine deep-water
Acentrogobius pflaumii			subtropical	marine brackish demersal
Lagocephalus wheeleri			temperate	marine demersal
Percina macrolepida			subtropical	freshwater benthopelagic
Halichoeres melanurus			tropical	reef-associated marine
Microphysogobio alticorpus			subtropical	freshwater benthopelagic
Physiculus japonicus				bathydemersal marine deep-water
Triacanthus biaculeatus	20.0	30.0	tropical	marine brackish demersal
Siganus fuscescens			tropical	reef-associated oceanodromous marine brackish
Epinephelus quoyanus			tropical	reef-associated marine
Cirrhinus molitorella	22.0	26.0	tropical	freshwater benthopelagic potamodromous
Thunnus alalunga	10.0	25.0	subtropical	pelagic-oceanic oceanodromous marine
Synodontis schoutedeni	22.0	26.0	tropical	freshwater benthopelagic
Spicara maena			subtropical	marine pelagic-neritic
Lates calcarifer	15.0	28.0	tropical	catadromous freshwater marine brackish demersal
Monodactylus argenteus	24.0	28.0	tropical	freshwater marine brackish pelagic-neritic
Rhinomuraena quaesita			tropical	reef-associated marine non-migratory
Bathygadus antrodes				bathydemersal marine deep-water
Exostoma labiatum				freshwater demersal
Gobiocypris rarus			temperate	freshwater benthopelagic
Diagramma picta			tropical	reef-associated marine non-migratory
Anguilla mossambica			tropical	catadromous freshwater marine brackish demersal
Pseudecheneis sulcata			tropical	freshwater demersal
Diaphus chrysorhynchus				bathypelagic marine deep-water
Chaenophryne melanorhabdus				bathypelagic marine deep-water
Hippoglossus stenolepis			temperate	oceanodromous marine demersal
Takifugu niphobles			temperate	marine demersal
Myctophum affine				bathypelagic marine brackish deep-water oceanodromous
Lampanyctus macdonaldi				bathypelagic marine deep-water oceanodromous
Paraconger notialis			tropical	marine demersal
Hapalogenys analis			tropical	benthopelagic marine
Epinephelus trimaculatus			tropical	reef-associated marine
Aulorhynchus flavidus			temperate	benthopelagic marine
Pseudobagrus brevicaudatus			temperate	freshwater benthopelagic
Minytrema melanops			subtropical	freshwater demersal
Arapaima gigas	25.0	29.0	tropical	freshwater demersal
Trematocranus placodon	24.0	26.0	tropical	freshwater demersal
Herwigia kreffti				bathypelagic marine deep-water
